District,Venue Type,Venue Name,Physical Address,Latitude,Longitude,Region
Albany,Ordinary Polling Place,Albany PCYC,"77 Sanford Road, CENTENNIAL PARK WA 6330",-35.01046,117.88208,South West
Albany,Ordinary Polling Place,Albany Primary School,"Suffolk Street, MOUNT CLARENCE WA 6330",-35.01821,117.89078,South West
Albany,Mobile Polling Place,Albany Regional Hospital,"Warden Avenue, ALBANY WA 6330",-35.00323,117.904869,South West
Albany,Mobile Polling Place,Albany Regional Prison,"Princess Avenue, Albany WA 6330",-35.04429,117.81773,South West
Albany,Ordinary Polling Place,Albany Sea Rescue Hall,"Swarbrick Street, EMU POINT WA 6330",-34.99427,117.94353,South West
Albany,Ordinary Polling Place,Albany Senior Citizens Centre,"122 Grey Street West, ALBANY WA 6330",-35.02377,117.88280,South West
Albany,Ordinary Polling Place,Albany Surf Life Saving Club,"4 Flinders Parade, MIDDLETON BEACH WA 6330",-35.02421,117.91597,South West
Albany,Mobile Polling Place,Annie Bryson McKeown Lodge,"2 Angove Road, SPENCER PARK WA 6330",-35.009865,117.902385,South West
Albany,Mobile Polling Place,Bethel Village Hostel (Bethel Aged Care Hostel),"2 Bethel Way, ALBANY WA 6330",-35.006709,117.88124,South West
Albany,Ordinary Polling Place,Bremer Bay Community Resource Centre,"7 Mary Street, BREMER BAY WA 6338",-34.392367,119.379078,South West
Albany,Mobile Polling Place,Clarence Estate Residential Health & Aged Care,"55 Hardie Road, SPENCER PARK WA 6330",-35.002926,117.901279,South West
Albany,Ordinary Polling Place,Elleker Hall,"Hassell Street, ELLEKER WA 6330",-35.00847,117.72988,South West
Albany,Ordinary Polling Place,Flinders Park Primary School,"Yatana Road, BAYONET HEAD WA 6330",-34.97843,117.93083,South West
Albany,Mobile Polling Place,Glen Craig Village,"Beaufort Road, YAKAMIA WA 6330",-35.002965,117.871485,South West
Albany,Ordinary Polling Place,Great Southern Grammar,"244 Nanarup Road, NANARUP WA 6330",-34.94764,117.97064,South West
Albany,Mobile Polling Place,Gwen Hardie Lodge,"67 Mermaid Avenue, EMU POINT WA 6330",-34.998093,117.938806,South West
Albany,Ordinary Polling Place,Jerramungup District High School,"2 Lancaster Road, JERRAMUNGUP WA 6337",-33.942721,118.917850,South West
Albany,Ordinary Polling Place,King River Hall,"1520 Millbrook Road, KING RIVER WA 6330",-34.93391,117.89681,South West
Albany,Ordinary Polling Place,Little Grove Primary School,"33 Gordon Street, LITTLE GROVE WA 6330",-35.066645,117.867267,South West
Albany,Ordinary Polling Place,Lower King Community Kindergarten,"34 Rutherford Drive, LOWER KING WA 6330",-34.958217,117.933206,South West
Albany,Ordinary Polling Place,Mt Lockyer Primary School,"Humphreys Street, LOCKYER WA 6330",-35.00205,117.85608,South West
Albany,Ordinary Polling Place,Mt Manypeaks Primary School,"Mt Manypeaks Primary School, 43731 South Coast Highway, MANYPEAKS WA 6328",-34.83878,118.17303,South West
Albany,Ordinary Polling Place,Napier Hall,"2151 Chester Pass Road, NAPIER WA 6330",-34.8333,117.9608,South West
Albany,Ordinary Polling Place,North Albany Senior High School,"47 Anson Road, ORANA WA 6330",-34.99085,117.86263,South West
Albany,Ordinary Polling Place,Redmond Hall,"Redmond-Hay River Road, REDMOND WA 6327",-34.88647,117.69151,South West
Albany,Ordinary Polling Place,Spencer Park Primary School,"46 Hardie Road, SPENCER PARK WA 6330",-35.00519,117.90087,South West
Albany,Ordinary Polling Place,Wellstead Community Resource Centre,"49 Windsor Road, WELLSTEAD WA 6328",-34.49298,118.60681,South West
Albany,Ordinary Polling Place,Yakamia Primary School,"26 Beaufort Road, YAKAMIA WA 6330",-35.00250,117.87299,South West
Albany,Ordinary Polling Place,Youngs Siding Hall,"Youngs Siding Hall, Station Street, YOUNGS SIDING WA 6330",-35.012413,117.522286,South West
Armadale,Mobile Polling Place,Armadale Health Services,"3056 Albany Highway, MT NASURA WA 6112",-32.133131,116.020493,East Metropolitan
Armadale,Ordinary Polling Place,Armadale Primary School,"1 Carradine Road, ARMADALE WA 6112",-32.14763,116.02618,East Metropolitan
Armadale,Ordinary Polling Place,Cecil Andrews Senior High School,"39 Seville Drive, SEVILLE GROVE WA 6112",-32.14080,115.99240,East Metropolitan
Armadale,Ordinary Polling Place,Challis Primary School,"40 Braemore Street, ARMADALE WA 6112",-32.13903,115.99975,East Metropolitan
Armadale,Mobile Polling Place,Dale Cottages,"16 Deerness Way, ARMADALE WA 6112",-32.159992,116.013257,East Metropolitan
Armadale,Ordinary Polling Place,Free Reformed Church,"84 Fifth Road, ARMADALE WA 6112",-32.14992,116.0049,East Metropolitan
Armadale,Ordinary Polling Place,Greendale Centre,"12 Coombe Avenue, ARMADALE WA 6112",-32.158423,116.013592,East Metropolitan
Armadale,Ordinary Polling Place,Grovelands Primary School,"14 Grovelands Drive, CAMILLO WA 6111",-32.11952,115.99868,East Metropolitan
Armadale,Ordinary Polling Place,Gwynne Park Primary School,"11 Tijuana Road, BROOKDALE WA 6112",-32.16150,115.99950,East Metropolitan
Armadale,Ordinary Polling Place,Kelmscott Primary School,"River Road, KELMSCOTT WA 6111",-32.11959,116.02049,East Metropolitan
Armadale,Ordinary Polling Place,Kelmscott Senior High School,"50 Third Avenue, KELMSCOTT WA 6111",-32.12035,116.00989,East Metropolitan
Armadale,Ordinary Polling Place,Kingsley Primary School,"11 Lathwell Street, ARMADALE WA 6112",-32.13432,116.01545,East Metropolitan
Armadale,Mobile Polling Place,Sarah Hardey House,"222 Cammillo Road, KELMSCOTT WA 6111",-32.121297,116.013628,East Metropolitan
Armadale,Mobile Polling Place,Thomas Scott Village - Amana Living,"63 Ypres Road, CAMILLO WA 6111",-32.117873,116.001297,East Metropolitan
